OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType
1,2016,NonResidential,Hotel,DOWNTOWN,1927,1.0,12,88434,0,88434,Hotel,Hotel,,,7226362.5,2003882.0,3946027.0,1276453.0,Mono_usage
2,2016,NonResidential,Hotel,DOWNTOWN,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,15064.0,4622.0,8387933.0,0.0,3242851.0,5145082.0,Multi_usage
3,2016,NonResidential,Hotel,DOWNTOWN,1969,1.0,41,956110,196718,759392,Hotel,Hotel,,,72587024.0,21566554.0,49526664.0,1493800.0,Mono_usage
5,2016,NonResidential,Hotel,DOWNTOWN,1926,1.0,10,61320,0,61320,Hotel,Hotel,,,6794584.0,2214446.25,2768924.0,1811213.0,Mono_usage
8,2016,NonResidential,Hotel,DOWNTOWN,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,68009.0,0.0,14172606.0,0.0,5368607.0,8803998.0,Multi_usage
9,2016,Nonresidential COS,Other,DOWNTOWN,1999,1.0,2,97288,37198,60090,Police Station,Police Station,,,12086616.0,0.0,7371434.0,4715182.0,Mono_usage
10,2016,NonResidential,Hotel,DOWNTOWN,1926,1.0,11,83008,0,83008,Hotel,Hotel,,,5758795.0,0.0,2811215.0,2947580.0,Mono_usage
11,2016,NonResidential,Other,DOWNTOWN,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,,,6298131.5,2276286.5,3636655.0,385189.0,Mono_usage
12,2016,NonResidential,Hotel,DOWNTOWN,1904,1.0,15,163984,0,163984,Hotel,Hotel,,,13723820.0,0.0,7297919.0,6425900.0,Mono_usage
15,2016,NonResidential,Hotel,DOWNTOWN,1969,1.0,11,153163,19279,133884,Hotel,Hotel,,,16016644.0,5237165.5,6187627.0,4591850.0,Mono_usage
16,2016,NonResidential,Hotel,DOWNTOWN,1998,1.0,25,333176,61161,272015,Hotel,Hotel,,,26941110.0,5999360.5,18083049.0,2858700.0,Mono_usage
17,2016,NonResidential,Hotel,DOWNTOWN,1928,1.0,9,65009,0,65009,Hotel,Hotel,,,6596057.5,1656352.5,1343000.0,3596705.0,Mono_usage
18,2016,NonResidential,Hotel,DOWNTOWN,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,57600.0,,22325364.0,4337738.5,13904183.0,4083440.0,Multi_usage
19,2016,NonResidential,Hotel,DOWNTOWN,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,25200.0,,10750010.0,4870847.5,3832369.0,2046793.0,Multi_usage
21,2016,Nonresidential COS,Other,DOWNTOWN,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,49000.0,1074.0,18588860.0,737559.5,17851297.0,0.0,Multi_usage
22,2016,NonResidential,Other,DOWNTOWN,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,40000.0,0.0,9956396.0,4592347.5,4453868.0,910180.0,Multi_usage
23,2016,NonResidential,Hotel,DOWNTOWN,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,85000.0,,33556756.0,0.0,21225277.0,12331475.0,Multi_usage
24,2016,NonResidential,Mixed Use Property,DOWNTOWN,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,15505.0,9741.0,7606084.5,1776201.875,3764791.0,2065091.0,Multi_usage
25,2016,NonResidential,Hotel,DOWNTOWN,1916,1.0,10,104352,0,104352,Hotel,Hotel,,,10154608.0,3430862.0,5908370.0,815376.0,Mono_usage
26,2016,NonResidential,Other,DOWNTOWN,1916,1.0,10,540360,0,540360,Courthouse,Courthouse,,,44984468.0,0.0,24357833.0,20626631.0,Mono_usage
27,2016,NonResidential,Other,DOWNTOWN,1985,1.0,19,385274,0,385274,Other,Other,,,47859812.0,0.0,18257661.0,29602150.0,Mono_usage
28,2016,SPS-District K-12,K-12 School,SOUTHEAST,1961,1.0,2,56228,0,56228,K-12 School,K-12 School,,,1539478.5,0.0,936955.0,602523.0,Mono_usage
29,2016,NonResidential,Hotel,NORTHEAST,2001,1.0,6,88592,30586,58006,"Hotel, Parking",Hotel,30586.0,,3663534.5,0.0,2266231.0,1397303.0,Multi_usage
30,2016,NonResidential,University,DOWNTOWN,1928,1.0,7,126593,0,126593,College/University,College/University,,,11343686.0,0.0,4647474.0,6696211.0,Mono_usage
31,2016,NonResidential,Other,DOWNTOWN,1930,1.0,2,67224,0,67224,Automobile Dealership,Automobile Dealership,,,1310236.625,0.0,1310236.0,0.0,Mono_usage
32,2016,NonResidential,Hotel,EAST,1991,1.0,8,158676,30301,128375,"Hotel, Parking, Retail Store, Swimming Pool",Hotel,42000.0,4500.0,5328051.5,0.0,572307.0,4755745.0,Multi_usage
33,2016,NonResidential,Hotel,DOWNTOWN,2001,1.0,10,171866,38281,133585,Hotel,Hotel,,,11061916.0,0.0,5610706.0,5451210.0,Mono_usage
35,2016,NonResidential,Hotel,DOWNTOWN,1978,1.0,5,68410,16200,52210,Hotel,Hotel,,,4456714.5,0.0,2346349.0,2110365.0,Mono_usage
36,2016,SPS-District K-12,K-12 School,NORTH,1949,1.0,2,160645,0,160645,K-12 School,K-12 School,,,6779173.0,0.0,1947601.0,4831572.0,Mono_usage
38,2016,NonResidential,Small- and Mid-Sized Office,LAKE_UNION,1906,1.0,3,87262,0,87262,"K-12 School, Multifamily Housing, Office, Other - Entertainment/Public Assembly",Office,18153.0,4307.0,4145920.5,0.0,1352843.0,2793077.0,Multi_usage
40,2016,NonResidential,Hotel,NORTHEAST,1994,1.0,4,81871,0,81871,Hotel,Hotel,,,6668568.5,0.0,3016399.0,3652169.0,Mono_usage
41,2016,NonResidential,Self-Storage Facility,NORTHEAST,1955,1.0,2,110356,0,110356,Self-Storage Facility,Self-Storage Facility,,,318364.8125,0.0,281265.0,37100.0,Mono_usage
46,2016,NonResidential,Warehouse,GREATER_DUWAMISH,1961,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,276000.0,71000.0,44731160.0,0.0,44731153.0,0.0,Multi_usage
50,2016,SPS-District K-12,K-12 School,MAGNOLIA_QUEENANNE,1990,1.0,2,54986,0,54986,K-12 School,K-12 School,,,1650279.25,0.0,1217589.0,432690.0,Mono_usage
51,2016,SPS-District K-12,K-12 School,NORTHEAST,1950,1.0,2,175565,0,175565,K-12 School,K-12 School,,,6399127.5,0.0,1599684.0,4799443.0,Mono_usage
52,2016,NonResidential,Small- and Mid-Sized Office,BALLARD,1961,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,39314.0,,6186461.5,0.0,4291585.0,1894876.0,Multi_usage
53,2016,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1900,1.0,2,52554,0,52554,"Office, Other - Education",Office,7849.0,,2951331.25,0.0,1579749.0,1371582.0,Multi_usage
54,2016,NonResidential,K-12 School,NORTHWEST,1954,1.0,3,175015,0,175015,K-12 School,K-12 School,,,6994740.5,0.0,2679739.0,4315001.0,Mono_usage
55,2016,NonResidential,Self-Storage Facility,DOWNTOWN,1911,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,28197.0,3859.0,2158629.0,0.0,1500229.0,658400.0,Multi_usage
56,2016,NonResidential,Hotel,DOWNTOWN,1969,1.0,24,332210,205970,126240,Hotel,Hotel,,,16163194.0,0.0,12204406.0,3958787.0,Mono_usage
57,2016,NonResidential,Large Office,DOWNTOWN,1973,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,65676.0,493.0,9536161.0,0.0,9536160.0,0.0,Multi_usage
58,2016,NonResidential,Other,DOWNTOWN,1920,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Other - Mall,5681.0,,1247362.0,0.0,714939.0,532423.0,Multi_usage
59,2016,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1910,1.0,8,59400,0,59400,"Office, Retail Store",Office,4993.0,,5071974.0,0.0,5071973.0,0.0,Multi_usage
60,2016,NonResidential,Mixed Use Property,DOWNTOWN,1926,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Other - Entertainment/Public Assembly,23500.0,5459.0,15026196.0,0.0,4632459.0,10393737.0,Multi_usage
62,2016,NonResidential,Hotel,DOWNTOWN,1930,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,10043.0,5000.0,4841347.5,0.0,4290059.0,551288.0,Multi_usage
63,2016,NonResidential,Hotel,DOWNTOWN,1982,1.0,34,994212,146694,847518,"Hotel, Parking, Swimming Pool",Hotel,117668.0,0.0,80469216.0,11598686.0,45545529.0,23324992.0,Multi_usage
65,2016,NonResidential,Hotel,DOWNTOWN,1985,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,13730.0,9604.0,5348309.0,0.0,3243900.0,2104408.0,Multi_usage
66,2016,NonResidential,Hotel,DOWNTOWN,1908,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,26450.0,8000.0,5401277.5,0.0,1293561.0,4107716.0,Multi_usage
67,2016,NonResidential,Hotel,LAKE_UNION,1959,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,42546.0,,5284343.5,0.0,2944680.0,2339663.0,Multi_usage
68,2016,NonResidential,Hotel,LAKE_UNION,2000,1.0,7,150453,34735,115718,Hotel,Hotel,3000.0,,6715187.0,0.0,3396109.0,3319078.0,Multi_usage
69,2016,NonResidential,Hotel,LAKE_UNION,1997,1.0,6,116300,28200,88100,Hotel,Hotel,28300.0,,5827595.5,0.0,3188457.0,2639138.0,Multi_usage
70,2016,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1998,1.0,6,155602,36744,118858,Hotel,Hotel,,,6836900.0,0.0,4558937.0,2277962.0,Mono_usage
73,2016,NonResidential,K-12 School,EAST,1911,1.0,3,56072,0,56072,K-12 School,K-12 School,,,3234787.75,0.0,551867.0,2682920.0,Mono_usage
77,2016,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1999,1.0,4,122942,44891,78051,"Hotel, Parking",Hotel,44891.0,,5337334.0,0.0,2423730.0,2913604.0,Multi_usage
82,2016,NonResidential,Small- and Mid-Sized Office,CENTRAL,1962,1.0,2,54984,0,54984,Office,Office,,,3375211.0,0.0,1978230.0,1396981.0,Mono_usage
84,2016,NonResidential,Senior Care Community,SOUTHWEST,1922,1.0,5,217603,0,217603,"Parking, Senior Care Community",Senior Care Community,0.0,,42792072.0,0.0,11824772.0,30967300.0,Multi_usage
85,2016,NonResidential,Senior Care Community,NORTHWEST,1970,1.0,2,93397,0,93397,Senior Care Community,Senior Care Community,,,16402563.0,0.0,5679498.0,10723064.0,Mono_usage
86,2016,NonResidential,Hotel,LAKE_UNION,2008,1.0,6,84103,20732,63371,"Hotel, Parking",Hotel,20732.0,,3706100.25,0.0,2812688.0,893412.0,Multi_usage
89,2016,NonResidential,Medical Office,EAST,1965,0.0,3,179014,0,179014,Medical Office,Medical Office,,,16701055.0,0.0,9886484.0,6814570.0,Mono_usage
95,2016,NonResidential,Hotel,EAST,1908,1.0,7,76631,0,76631,Hotel,Hotel,,,7258758.5,0.0,2660742.0,4598016.0,Mono_usage
96,2016,NonResidential,Mixed Use Property,EAST,1983,1.0,6,99780,9341,90439,"Data Center, Medical Office, Non-Refrigerated Warehouse, Office, Other, Parking",Medical Office,20868.0,17020.0,15473117.0,5327802.5,10145313.0,0.0,Multi_usage
98,2016,NonResidential,Retail Store,LAKE_UNION,1929,1.0,2,58320,0,58320,Retail Store,Retail Store,,,1049748.625,0.0,361803.0,687945.0,Mono_usage
100,2016,NonResidential,Large Office,LAKE_UNION,2010,1.0,5,316306,0,316306,"Office, Other, Parking, Retail Store",Office,150726.0,15139.0,13795954.0,0.0,12871091.0,924861.0,Multi_usage
102,2016,NonResidential,Hotel,LAKE_UNION,1990,1.0,7,282863,44766,238097,"Hotel, Parking",Hotel,51537.0,,19459304.0,0.0,10980652.0,8478651.0,Multi_usage
103,2016,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1962,1.0,1,389000,0,389000,Other,Other,,,23658978.0,6093150.0,14419146.0,688680.0,Mono_usage
104,2016,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1962,1.0,1,91213,0,91213,Other,Other,,,8141155.5,4120130.0,3754115.0,0.0,Mono_usage
106,2016,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1938,1.0,5,396085,0,396085,Other,Other,,,20955026.0,9763690.0,7252325.0,0.0,Mono_usage
107,2016,NonResidential,Large Office,LAKE_UNION,2010,1.0,12,571329,0,571329,"Office, Other, Parking",Office,310699.0,26203.0,39605888.0,0.0,32206199.0,7399685.0,Multi_usage
110,2016,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1962,1.0,2,52000,0,52000,Other,Other,,,2726369.0,1202380.0,1293349.0,0.0,Mono_usage
111,2016,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1928,1.0,1,60696,0,60696,Other,Other,,,875943.3125,0.0,875943.0,0.0,Mono_usage
112,2016,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1928,1.0,2,262048,0,262048,Other,Other,,,20723248.0,5137220.0,13512686.0,0.0,Mono_usage
113,2016,NonResidential,Small- and Mid-Sized Office,MAGNOLIA_QUEENANNE,1986,0.0,2,66240,2352,63888,"Data Center, Distribution Center, Office, Parking, Retail Store",Office,5181.0,4551.0,4166306.25,0.0,4166305.0,0.0,Multi_usage
114,2016,NonResidential,Large Office,MAGNOLIA_QUEENANNE,2010,1.0,6,920598,303707,616891,"Office, Other, Parking",Office,185014.0,6000.0,36667044.0,0.0,27597261.0,9069780.0,Multi_usage
115,2016,NonResidential,Small- and Mid-Sized Office,MAGNOLIA_QUEENANNE,1970,1.0,4,76213,25930,50283,"Office, Other, Parking",Office,21454.0,2406.0,3476212.5,0.0,2944692.0,531520.0,Multi_usage
116,2016,NonResidential,Hotel,MAGNOLIA_QUEENANNE,2002,1.0,6,96910,36934,59976,"Hotel, Parking",Hotel,36934.0,,5155568.5,0.0,2637011.0,2518558.0,Multi_usage
117,2016,NonResidential,Hotel,NORTHEAST,1962,2.0,4,50017,0,50017,"Hotel, Swimming Pool",Hotel,0.0,,5448975.0,0.0,2128306.0,3320669.0,Multi_usage
119,2016,NonResidential,K-12 School,EAST,1923,1.0,3,67743,0,67743,K-12 School,K-12 School,,,2646879.0,0.0,1337786.0,1309093.0,Mono_usage
120,2016,NonResidential,K-12 School,EAST,1908,1.0,6,194104,0,194104,K-12 School,K-12 School,,,6219841.5,0.0,1887893.0,4331949.0,Mono_usage
