OSEBuildingID,BuildingType,PrimaryPropertyType,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,LargestPropertyUseType,SiteEnergyUse(kBtu),UsageType,NumPropertyUseTypes,BuildingAge,HasSteam,HasElectricity,HasGas,NbSourcesEnergies,SecondUseRatio,ThirdUseRatio,AreaPerFloor
1,NonResidential,Hotel,DOWNTOWN,1.0,12,88434,0,Hotel,7226362.5,Mono_usage,1,89,1,1,1,3,0.0,0.0,7369.5
2,NonResidential,Hotel,DOWNTOWN,1.0,11,103566,15064,Hotel,8387933.0,Multi_usage,3,20,0,1,1,2,0.1454531409922175,0.04462854604793079,9415.09090909091
3,NonResidential,Hotel,DOWNTOWN,1.0,41,956110,196718,Hotel,72587024.0,Mono_usage,1,47,1,1,1,3,0.0,0.0,23319.756097560974
5,NonResidential,Hotel,DOWNTOWN,1.0,10,61320,0,Hotel,6794584.0,Mono_usage,1,90,1,1,1,3,0.0,0.0,6132.0
8,NonResidential,Hotel,DOWNTOWN,1.0,18,175580,62000,Hotel,14172606.0,Multi_usage,3,36,0,1,1,2,0.38733910468162663,0.0,9754.444444444445
9,Nonresidential COS,Other,DOWNTOWN,1.0,2,97288,37198,Police Station,12086616.0,Mono_usage,1,17,0,1,1,2,0.0,0.0,48644.0
10,NonResidential,Hotel,DOWNTOWN,1.0,11,83008,0,Hotel,5758795.0,Mono_usage,1,90,0,1,1,2,0.0,0.0,7546.181818181818
11,NonResidential,Other,DOWNTOWN,1.0,8,102761,0,Other - Entertainment/Public Assembly,6298131.5,Mono_usage,1,90,1,1,1,3,0.0,0.0,12845.125
12,NonResidential,Hotel,DOWNTOWN,1.0,15,163984,0,Hotel,13723820.0,Mono_usage,1,112,0,1,1,2,0.0,0.0,10932.266666666666
15,NonResidential,Hotel,DOWNTOWN,1.0,11,153163,19279,Hotel,16016644.0,Mono_usage,1,47,1,1,1,3,0.0,0.0,13923.90909090909
16,NonResidential,Hotel,DOWNTOWN,1.0,25,333176,61161,Hotel,26941110.0,Mono_usage,1,18,1,1,1,3,0.0,0.0,13327.04
17,NonResidential,Hotel,DOWNTOWN,1.0,9,65009,0,Hotel,6596057.5,Mono_usage,1,88,1,1,1,3,0.0,0.0,7223.222222222223
18,NonResidential,Hotel,DOWNTOWN,1.0,33,315952,57600,Hotel,22325364.0,Multi_usage,2,36,1,1,1,3,0.18230617308958322,0.0,9574.30303030303
19,NonResidential,Hotel,DOWNTOWN,1.0,11,92190,25200,Hotel,10750010.0,Multi_usage,2,94,1,1,1,3,0.2733485193621868,0.0,8380.90909090909
21,Nonresidential COS,Other,DOWNTOWN,1.0,11,412000,57000,Library,18588860.0,Multi_usage,3,12,1,1,0,2,0.11893203883495146,0.0026067961165048546,37454.545454545456
22,NonResidential,Other,DOWNTOWN,1.0,6,103911,0,Fitness Center/Health Club/Gym,9956396.0,Multi_usage,3,86,1,1,1,3,0.38494480853807583,0.0,17318.5
23,NonResidential,Hotel,DOWNTOWN,1.0,28,416281,85000,Hotel,33556756.0,Multi_usage,2,33,0,1,1,2,0.20418899733593415,0.0,14867.17857142857
24,NonResidential,Mixed Use Property,DOWNTOWN,1.0,5,57452,0,Social/Meeting Hall,7606084.5,Multi_usage,5,109,1,1,1,3,0.26987746292557263,0.16955023323818144,11490.4
25,NonResidential,Hotel,DOWNTOWN,1.0,10,104352,0,Hotel,10154608.0,Mono_usage,1,100,1,1,1,3,0.0,0.0,10435.2
26,NonResidential,Other,DOWNTOWN,1.0,10,540360,0,Courthouse,44984468.0,Mono_usage,1,100,0,1,1,2,0.0,0.0,54036.0
27,NonResidential,Other,DOWNTOWN,1.0,19,385274,0,Other,47859812.0,Mono_usage,1,31,0,1,1,2,0.0,0.0,20277.57894736842
28,SPS-District K-12,K-12 School,SOUTHEAST,1.0,2,56228,0,K-12 School,1539478.5,Mono_usage,1,55,0,1,1,2,0.0,0.0,28114.0
29,NonResidential,Hotel,NORTHEAST,1.0,6,88592,30586,Hotel,3663534.5,Multi_usage,2,15,0,1,1,2,0.34524562037204265,0.0,14765.333333333334
30,NonResidential,University,DOWNTOWN,1.0,7,126593,0,College/University,11343686.0,Mono_usage,1,88,0,1,1,2,0.0,0.0,18084.714285714286
31,NonResidential,Other,DOWNTOWN,1.0,2,67224,0,Automobile Dealership,1310236.625,Mono_usage,1,86,0,1,0,1,0.0,0.0,33612.0
32,NonResidential,Hotel,EAST,1.0,8,158676,30301,Hotel,5328051.5,Multi_usage,4,25,0,1,1,2,0.2646903123345686,0.028359676321560917,19834.5
33,NonResidential,Hotel,DOWNTOWN,1.0,10,171866,38281,Hotel,11061916.0,Mono_usage,1,15,0,1,1,2,0.0,0.0,17186.6
35,NonResidential,Hotel,DOWNTOWN,1.0,5,68410,16200,Hotel,4456714.5,Mono_usage,1,38,0,1,1,2,0.0,0.0,13682.0
36,SPS-District K-12,K-12 School,NORTH,1.0,2,160645,0,K-12 School,6779173.0,Mono_usage,1,67,0,1,1,2,0.0,0.0,80322.5
38,NonResidential,Small- and Mid-Sized Office,LAKE_UNION,1.0,3,87262,0,Office,4145920.5,Multi_usage,4,110,0,1,1,2,0.20802869519378422,0.04935710847791708,29087.333333333332
40,NonResidential,Hotel,NORTHEAST,1.0,4,81871,0,Hotel,6668568.5,Mono_usage,1,22,0,1,1,2,0.0,0.0,20467.75
41,NonResidential,Self-Storage Facility,NORTHEAST,1.0,2,110356,0,Self-Storage Facility,318364.8125,Mono_usage,1,61,0,1,1,2,0.0,0.0,55178.0
46,NonResidential,Warehouse,GREATER_DUWAMISH,3.0,2,714095,0,Non-Refrigerated Warehouse,44731160.0,Multi_usage,3,55,0,1,0,1,0.3865031963534264,0.09942654688801911,357047.5
50,SPS-District K-12,K-12 School,MAGNOLIA_QUEENANNE,1.0,2,54986,0,K-12 School,1650279.25,Mono_usage,1,26,0,1,1,2,0.0,0.0,27493.0
51,SPS-District K-12,K-12 School,NORTHEAST,1.0,2,175565,0,K-12 School,6399127.5,Mono_usage,1,66,0,1,1,2,0.0,0.0,87782.5
52,NonResidential,Small- and Mid-Sized Office,BALLARD,1.0,2,94900,0,Office,6186461.5,Multi_usage,2,55,0,1,1,2,0.4142676501580611,0.0,47450.0
53,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1.0,2,52554,0,Office,2951331.25,Multi_usage,2,116,0,1,1,2,0.14935114358564525,0.0,26277.0
54,NonResidential,K-12 School,NORTHWEST,1.0,3,175015,0,K-12 School,6994740.5,Mono_usage,1,62,0,1,1,2,0.0,0.0,58338.333333333336
55,NonResidential,Self-Storage Facility,DOWNTOWN,1.0,3,70586,0,Self-Storage Facility,2158629.0,Multi_usage,3,105,0,1,1,2,0.3994701498880798,0.054670897911767206,23528.666666666668
56,NonResidential,Hotel,DOWNTOWN,1.0,24,332210,205970,Hotel,16163194.0,Mono_usage,1,47,0,1,1,2,0.0,0.0,13842.083333333334
57,NonResidential,Large Office,DOWNTOWN,1.0,5,168115,0,Office,9536161.0,Multi_usage,3,43,0,1,0,1,0.3906611545668144,0.0029325164322041458,33623.0
58,NonResidential,Other,DOWNTOWN,1.0,2,57428,0,Other - Mall,1247362.0,Multi_usage,4,96,0,1,1,2,0.09892386988925263,0.0,28714.0
59,NonResidential,Small- and Mid-Sized Office,DOWNTOWN,1.0,8,59400,0,Office,5071974.0,Multi_usage,2,106,0,1,0,1,0.08405723905723905,0.0,7425.0
60,NonResidential,Mixed Use Property,DOWNTOWN,1.0,2,52549,0,Other - Entertainment/Public Assembly,15026196.0,Multi_usage,3,90,0,1,1,2,0.44720165940360423,0.10388399398656492,26274.5
62,NonResidential,Hotel,DOWNTOWN,1.0,20,98634,10043,Hotel,4841347.5,Multi_usage,3,86,0,1,1,2,0.10182087312691364,0.050692458989800675,4931.7
63,NonResidential,Hotel,DOWNTOWN,1.0,34,994212,146694,Hotel,80469216.0,Multi_usage,3,34,1,1,1,3,0.11835302732214055,0.0,29241.529411764706
65,NonResidential,Hotel,DOWNTOWN,1.0,7,71150,0,Hotel,5348309.0,Multi_usage,4,31,0,1,1,2,0.19297259311314124,0.13498243148278286,10164.285714285714
66,NonResidential,Hotel,DOWNTOWN,1.0,7,122810,0,Hotel,5401277.5,Multi_usage,3,108,0,1,1,2,0.21537334093314878,0.06514127514046088,17544.285714285714
67,NonResidential,Hotel,LAKE_UNION,1.0,5,113173,42546,Hotel,5284343.5,Multi_usage,2,57,0,1,1,2,0.3759377236620042,0.0,22634.6
68,NonResidential,Hotel,LAKE_UNION,1.0,7,150453,34735,Hotel,6715187.0,Multi_usage,1,16,0,1,1,2,0.019939781858786466,0.0,21493.285714285714
69,NonResidential,Hotel,LAKE_UNION,1.0,6,116300,28200,Hotel,5827595.5,Multi_usage,1,19,0,1,1,2,0.24333619948409285,0.0,19383.333333333332
70,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1.0,6,155602,36744,Hotel,6836900.0,Mono_usage,1,18,0,1,1,2,0.0,0.0,25933.666666666668
73,NonResidential,K-12 School,EAST,1.0,3,56072,0,K-12 School,3234787.75,Mono_usage,1,105,0,1,1,2,0.0,0.0,18690.666666666668
77,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1.0,4,122942,44891,Hotel,5337334.0,Multi_usage,2,17,0,1,1,2,0.36513965935156417,0.0,30735.5
82,NonResidential,Small- and Mid-Sized Office,CENTRAL,1.0,2,54984,0,Office,3375211.0,Mono_usage,1,54,0,1,1,2,0.0,0.0,27492.0
84,NonResidential,Senior Care Community,SOUTHWEST,1.0,5,217603,0,Senior Care Community,42792072.0,Multi_usage,2,94,0,1,1,2,0.0,0.0,43520.6
85,NonResidential,Senior Care Community,NORTHWEST,1.0,2,93397,0,Senior Care Community,16402563.0,Mono_usage,1,46,0,1,1,2,0.0,0.0,46698.5
86,NonResidential,Hotel,LAKE_UNION,1.0,6,84103,20732,Hotel,3706100.25,Multi_usage,2,8,0,1,1,2,0.2465072589562798,0.0,14017.166666666666
89,NonResidential,Medical Office,EAST,0.0,3,179014,0,Medical Office,16701055.0,Mono_usage,1,51,0,1,1,2,0.0,0.0,59671.333333333336
95,NonResidential,Hotel,EAST,1.0,7,76631,0,Hotel,7258758.5,Mono_usage,1,108,0,1,1,2,0.0,0.0,10947.285714285714
96,NonResidential,Mixed Use Property,EAST,1.0,6,99780,9341,Medical Office,15473117.0,Multi_usage,6,33,1,1,0,2,0.20914010823812387,0.17057526558428543,16630.0
98,NonResidential,Retail Store,LAKE_UNION,1.0,2,58320,0,Retail Store,1049748.625,Mono_usage,1,87,0,1,1,2,0.0,0.0,29160.0
100,NonResidential,Large Office,LAKE_UNION,1.0,5,316306,0,Office,13795954.0,Multi_usage,4,6,0,1,1,2,0.47651957281872614,0.04786188058399145,63261.2
102,NonResidential,Hotel,LAKE_UNION,1.0,7,282863,44766,Hotel,19459304.0,Multi_usage,2,26,0,1,1,2,0.18219774236998124,0.0,40409.0
103,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1.0,1,389000,0,Other,23658978.0,Mono_usage,1,54,1,1,1,3,0.0,0.0,389000.0
104,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1.0,1,91213,0,Other,8141155.5,Mono_usage,1,54,1,1,0,2,0.0,0.0,91213.0
106,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1.0,5,396085,0,Other,20955026.0,Mono_usage,1,78,1,1,0,2,0.0,0.0,79217.0
107,NonResidential,Large Office,LAKE_UNION,1.0,12,571329,0,Office,39605888.0,Multi_usage,3,6,0,1,1,2,0.5438180102882927,0.04586324166986097,47610.75
110,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1.0,2,52000,0,Other,2726369.0,Mono_usage,1,54,1,1,0,2,0.0,0.0,26000.0
111,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1.0,1,60696,0,Other,875943.3125,Mono_usage,1,88,0,1,0,1,0.0,0.0,60696.0
112,Nonresidential COS,Other,MAGNOLIA_QUEENANNE,1.0,2,262048,0,Other,20723248.0,Mono_usage,1,88,1,1,0,2,0.0,0.0,131024.0
113,NonResidential,Small- and Mid-Sized Office,MAGNOLIA_QUEENANNE,0.0,2,66240,2352,Office,4166306.25,Multi_usage,5,30,0,1,0,1,0.07821557971014492,0.06870471014492753,33120.0
114,NonResidential,Large Office,MAGNOLIA_QUEENANNE,1.0,6,920598,303707,Office,36667044.0,Multi_usage,3,6,0,1,1,2,0.20097154241047666,0.0065175027536449135,153433.0
115,NonResidential,Small- and Mid-Sized Office,MAGNOLIA_QUEENANNE,1.0,4,76213,25930,Office,3476212.5,Multi_usage,3,46,0,1,1,2,0.28150053140540326,0.03156941729101334,19053.25
116,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1.0,6,96910,36934,Hotel,5155568.5,Multi_usage,2,14,0,1,1,2,0.3811164998452172,0.0,16151.666666666666
117,NonResidential,Hotel,NORTHEAST,2.0,4,50017,0,Hotel,5448975.0,Multi_usage,2,54,0,1,1,2,0.0,0.0,12504.25
119,NonResidential,K-12 School,EAST,1.0,3,67743,0,K-12 School,2646879.0,Mono_usage,1,93,0,1,1,2,0.0,0.0,22581.0
120,NonResidential,K-12 School,EAST,1.0,6,194104,0,K-12 School,6219841.5,Mono_usage,1,108,0,1,1,2,0.0,0.0,32350.666666666668
121,NonResidential,Small- and Mid-Sized Office,SOUTHEAST,1.0,3,99433,35752,Office,4897760.0,Multi_usage,2,13,0,1,0,1,0.35955869781662025,0.0,33144.333333333336
125,SPS-District K-12,K-12 School,GREATER_DUWAMISH,1.0,1,130862,0,K-12 School,6456026.0,Mono_usage,1,59,0,1,1,2,0.0,0.0,130862.0
127,SPS-District K-12,K-12 School,SOUTHEAST,1.0,3,59955,0,K-12 School,1633399.375,Mono_usage,1,27,0,1,1,2,0.0,0.0,19985.0
130,SPS-District K-12,K-12 School,MAGNOLIA_QUEENANNE,1.0,2,93218,0,K-12 School,2887392.0,Mono_usage,1,52,0,1,1,2,0.0,0.0,46609.0
131,NonResidential,Other,NORTHEAST,1.0,4,56521,0,Other,6357632.0,Mono_usage,1,75,0,1,0,1,0.0,0.0,14130.25
132,NonResidential,Other,NORTHEAST,1.0,2,206934,0,Other,4253577.5,Multi_usage,2,87,0,1,1,2,0.0,0.0,103467.0
136,NonResidential,Hotel,NORTHWEST,1.0,4,51390,0,Hotel,3611538.0,Multi_usage,2,15,0,1,1,2,0.0,0.0,12847.5
137,SPS-District K-12,K-12 School,NORTHWEST,1.0,2,131013,0,K-12 School,3894584.5,Mono_usage,1,53,0,1,1,2,0.0,0.0,65506.5
138,SPS-District K-12,K-12 School,NORTHWEST,1.0,1,245587,0,K-12 School,11765682.0,Mono_usage,1,57,0,1,1,2,0.0,0.0,245587.0
139,NonResidential,Hotel,NORTHWEST,1.0,3,69138,0,Hotel,3242458.0,Mono_usage,1,14,0,1,1,2,0.0,0.0,23046.0
144,NonResidential,Hotel,DOWNTOWN,1.0,5,190980,0,Hotel,6505995.0,Multi_usage,2,112,0,1,1,2,0.09975390093203476,0.0,38196.0
145,Nonresidential COS,Other,DOWNTOWN,1.0,6,284100,0,Other - Entertainment/Public Assembly,14641502.0,Mono_usage,1,18,1,1,1,3,0.0,0.0,47350.0
147,NonResidential,Hospital,BALLARD,4.0,5,285333,0,Hospital (General Medical & Surgical),68090728.0,Multi_usage,2,62,0,1,1,2,0.5217237403314724,0.0,57066.6
148,SPS-District K-12,K-12 School,BALLARD,1.0,2,55513,0,K-12 School,1513570.75,Mono_usage,1,25,0,1,0,1,0.0,0.0,27756.5
163,Nonresidential COS,Other,DOWNTOWN,1.0,4,61156,0,Other,9363374.0,Multi_usage,2,10,0,1,1,2,0.47777814114723005,0.0,15289.0
167,NonResidential,Other,DOWNTOWN,1.0,4,72820,13820,Museum,2010454.625,Mono_usage,1,106,0,1,1,2,0.0,0.0,18205.0
168,NonResidential,Hotel,MAGNOLIA_QUEENANNE,1.0,4,162222,14200,Hotel,7946961.0,Multi_usage,2,20,0,1,1,2,0.20152630346068967,0.0,40555.5
169,SPS-District K-12,K-12 School,SOUTHEAST,1.0,4,289588,0,K-12 School,8819852.0,Mono_usage,1,26,0,1,1,2,0.0,0.0,72397.0
170,NonResidential,University,EAST,1.0,3,63330,0,College/University,3059758.0,Mono_usage,1,101,0,1,1,2,0.0,0.0,21110.0
172,Campus,University,DELRIDGE,27.0,2,441071,0,College/University,38301744.0,Mono_usage,1,46,0,1,1,2,0.0,0.0,220535.5
173,NonResidential,Small- and Mid-Sized Office,NORTHEAST,1.0,2,96300,0,Office,16319835.0,Multi_usage,2,14,0,1,1,2,0.05133956386292835,0.0,48150.0
174,Nonresidential COS,Other,GREATER_DUWAMISH,1.0,1,67356,0,"Repair Services (Vehicle, Shoe, Locksmith, etc)",7475577.5,Mono_usage,4,66,0,1,1,2,0.0,0.0,67356.0
175,SPS-District K-12,K-12 School,CENTRAL,1.0,3,254523,0,K-12 School,13567774.0,Mono_usage,1,8,0,1,1,2,0.0,0.0,84841.0
176,SPS-District K-12,K-12 School,SOUTHEAST,1.0,3,78804,0,K-12 School,2499140.0,Mono_usage,1,15,0,1,1,2,0.0,0.0,26268.0
177,SPS-District K-12,K-12 School,CENTRAL,1.0,3,66994,0,K-12 School,2371304.5,Mono_usage,1,14,0,1,1,2,0.0,0.0,22331.333333333332
178,SPS-District K-12,K-12 School,GREATER_DUWAMISH,1.0,3,98357,0,K-12 School,3456131.5,Mono_usage,1,16,0,1,1,2,0.0,0.0,32785.666666666664
179,NonResidential,Small- and Mid-Sized Office,GREATER_DUWAMISH,1.0,1,54765,0,Office,4253369.5,Multi_usage,2,58,0,1,1,2,0.45649593718615905,0.0,54765.0
