OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,SiteEnergyUse(kBtu),SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),UsageType,UsageType_Bin,NumPropertyUseTypes
1,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,,,7226362.5,2003882.0,3946027.0,1276453.0,Mono_usage,0,1
2,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,15064.0,4622.0,8387933.0,0.0,3242851.0,5145082.0,Multi_usage,1,3
3,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,,,72587024.0,21566554.0,49526664.0,1493800.0,Mono_usage,0,1
5,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,,,6794584.0,2214446.25,2768924.0,1811213.0,Mono_usage,0,1
8,2016,NonResidential,Hotel,98121.0,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,68009.0,0.0,14172606.0,0.0,5368607.0,8803998.0,Multi_usage,1,3
9,2016,Nonresidential COS,Other,98101.0,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,,12086616.0,0.0,7371434.0,4715182.0,Mono_usage,0,1
10,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,,,5758795.0,0.0,2811215.0,2947580.0,Mono_usage,0,1
11,2016,NonResidential,Other,98101.0,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,6298131.5,2276286.5,3636655.0,385189.0,Mono_usage,0,1
12,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,,,13723820.0,0.0,7297919.0,6425900.0,Mono_usage,0,1
15,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60695,-122.33414,1969,1.0,11,153163,19279,133884,Hotel,Hotel,133884.0,,,16016644.0,5237165.5,6187627.0,4591850.0,Mono_usage,0,1
16,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60713,-122.33323,1998,1.0,25,333176,61161,272015,Hotel,Hotel,336640.0,,,26941110.0,5999360.5,18083049.0,2858700.0,Mono_usage,0,1
17,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60699,-122.33346,1928,1.0,9,65009,0,65009,Hotel,Hotel,65009.0,,,6596057.5,1656352.5,1343000.0,3596705.0,Mono_usage,0,1
18,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60809,-122.33212,1980,1.0,33,315952,57600,258352,"Hotel, Parking",Hotel,295511.0,57600.0,,22325364.0,4337738.5,13904183.0,4083440.0,Multi_usage,1,2
19,2016,NonResidential,Hotel,98101.0,7,DOWNTOWN,47.60755,-122.33244,1922,1.0,11,92190,25200,66990,"Hotel, Parking",Hotel,67390.0,25200.0,,10750010.0,4870847.5,3832369.0,2046793.0,Multi_usage,1,2
21,2016,Nonresidential COS,Other,98154.0,7,DOWNTOWN,47.60649,-122.33297,2004,1.0,11,412000,57000,355000,"Data Center, Library, Parking",Library,364913.0,49000.0,1074.0,18588860.0,737559.5,17851297.0,0.0,Multi_usage,1,3
22,2016,NonResidential,Other,98104.0,7,DOWNTOWN,47.60546,-122.33279,1930,1.0,6,103911,0,103911,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,40000.0,0.0,9956396.0,4592347.5,4453868.0,910180.0,Multi_usage,1,3
23,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60681,-122.33078,1983,1.0,28,416281,85000,331281,"Hotel, Parking",Hotel,348329.0,85000.0,,33556756.0,0.0,21225277.0,12331475.0,Multi_usage,1,2
24,2016,NonResidential,Mixed Use Property,98104.0,7,DOWNTOWN,47.60515,-122.33159,1907,1.0,5,57452,0,57452,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,15505.0,9741.0,7606084.5,1776201.875,3764791.0,2065091.0,Multi_usage,1,5
25,2016,NonResidential,Hotel,98104.0,7,DOWNTOWN,47.60376,-122.33194,1916,1.0,10,104352,0,104352,Hotel,Hotel,104352.0,,,10154608.0,3430862.0,5908370.0,815376.0,Mono_usage,0,1
26,2016,NonResidential,Other,98104.0,7,DOWNTOWN,47.60265,-122.33051,1916,1.0,10,540360,0,540360,Courthouse,Courthouse,537150.0,,,44984468.0,0.0,24357833.0,20626631.0,Mono_usage,0,1
27,2016,NonResidential,Other,98104.0,3,DOWNTOWN,47.60378,-122.32842,1985,1.0,19,385274,0,385274,Other,Other,385274.0,,,47859812.0,0.0,18257661.0,29602150.0,Mono_usage,0,1
